sra_accession	strain_name	province	Isoniazid	Rifampicin	Ethambutol	Streptomycin	Kanamycin	Ofloxacin
 SRS796960 	07DS17369	Hubei	S	S	S	S	S	S
 SRS797446 	07DS17415	Hubei	S	S	S	S	S	S
 SRS797455 	07DS17419	Hubei	S	S	S	S	S	S
 SRS797358 	07DS17455	Hubei	S	S	S	S	S	S
 SRS797142 	07DS18106	Hunan	S	S	S	S	S	S
 SRS797374 	07DS18117	Hunan	S	S	S	S	S	S
 SRS797191 	07DS18137	Hunan	S	S	S	S	S	S
 SRS797217 	07DS18215	Hunan	S	S	S	S	S	S
 SRS797399 	07DS18216	Hunan	S	S	S	S	S	S
 SRS797330 	07DS18231	Hunan	S	S	S	S	S	S
 SRS797425 	07DS18352	Hunan	S	S	S	S	S	S
 SRS797428 	07DS18360	Hunan	S	S	S	S	S	S
 SRS797430 	07DS18372	Hunan	S	S	S	S	S	S
 SRS796986 	07DS18420	Hunan	S	S	S	S	S	S
 SRS797325 	07DS18426	Hunan	S	S	S	S	S	S
 SRS797210 	07DS18449	Hunan	S	S	S	S	S	S
 SRS797395 	07DS18505	Hunan	S	S	S	S	S	S
 SRS797466 	07DS18512	Hunan	S	S	S	S	S	S
 SRS797391 	07DS18528	Hunan	S	S	S	S	S	S
 SRS797059 	07DS19125	Guangdong	S	S	S	S	S	S
 SRS797369 	07DS19144	Guangdong	S	S	S	S	S	S
 SRS797078 	07DS19149	Guangdong	S	S	S	S	S	S
 SRS797373 	07DS19150	Guangdong	S	S	S	S	S	S
 SRS797247 	07DS19202	Guangdong	S	S	S	S	S	S
 SRS797027 	07DS19214	Guangdong	S	S	S	S	S	S
 SRS797421 	07DS19221	Guangdong	S	S	S	S	S	S
 SRS797424 	07DS19323	Guangdong	S	S	S	S	S	S
 SRS797340 	07DS19414	Guangdong	S	S	S	S	S	S
 SRS797473 	07DS19453	Guangdong	S	S	S	S	S	S
 SRS797014 	07DS20132	Guangxi	S	S	S	S	S	S
 SRS797438 	07DS20142	Guangxi	S	S	S	S	S	S
 SRS797413 	07DS20157	Guangxi	S	S	S	S	S	S
 SRS796988 	07DS20263	Guangxi	S	S	S	S	S	S
