BioSample	isolation_country	collection_year	tag
SAMN05916404	Peru	2012	patric,ncbi
SAMN05916447	Peru	2012	patric,ncbi
SAMN05916449	Peru	2012	patric,ncbi
SAMN05916435	Peru	2012	patric,ncbi
SAMN05916258	Peru	2012	patric,ncbi
SAMN05916237	Peru	2012	patric,ncbi
SAMN05916408	Peru	2012	patric,ncbi
SAMN05918648	Peru	2012	patric,ncbi
SAMN05918670	Peru	2012	patric,ncbi
SAMN05916305	Peru	2012	patric,ncbi
SAMN05916387	Peru	2012	patric,ncbi
SAMN05916301	Peru	2012	patric,ncbi
SAMN05916402	Peru	2012	patric,ncbi
SAMN05916330	Peru	2012	patric,ncbi
SAMN05918657	Peru	2012	patric,ncbi
SAMN05918659	Peru	2012	patric,ncbi
SAMN05918649	Peru	2012	patric,ncbi
SAMN05916337	Peru	2012	patric,ncbi
SAMN05918647	Peru	2012	patric,ncbi
SAMN05918645	Peru	2012	patric,ncbi
SAMN05918669	Peru	2012	patric,ncbi
SAMN05916256	Peru	2012	patric,ncbi
SAMN05916295	Peru	2012	patric,ncbi
SAMN05918555	Peru	2012	patric,ncbi
SAMN05918681	Peru	2012	patric,ncbi
SAMN05918693	Peru	2012	patric,ncbi
SAMN05916276	Peru	2012	patric,ncbi
SAMN05916406	Peru	2012	patric,ncbi
SAMN05916313	Peru	2012	patric,ncbi
SAMN05916417	Peru	2012	patric,ncbi
SAMN05918624	Peru	2012	patric,ncbi
SAMN05918629	Peru	2012	patric,ncbi
SAMN05918745	Peru	2012	patric,ncbi
SAMN05918637	Peru	2012	patric,ncbi
SAMN05918737	Peru	2012	patric,ncbi
SAMN05916345	Peru	2012	patric,ncbi
SAMN05918618	Peru	2012	patric,ncbi
SAMN05918739	Peru	2012	patric,ncbi
SAMN05918636	Peru	2012	patric,ncbi
SAMN05918622	Peru	2012	patric,ncbi
SAMN05918634	Peru	2012	patric,ncbi
SAMN05916358	Peru	2012	patric,ncbi
SAMN05916426	Peru	2012	patric,ncbi
SAMN05918561	Peru	2012	patric,ncbi
SAMN05918564	Peru	2012	patric,ncbi
SAMN05919549	Peru	2012	patric,ncbi
SAMN05919598	Peru	2012	patric,ncbi
SAMN05918919	Peru	2012	patric,ncbi
SAMN05918925	Peru	2012	patric,ncbi
SAMN05918928	Peru	2012	patric,ncbi
SAMN05918932	Peru	2012	patric,ncbi
SAMN05918938	Peru	2012	patric,ncbi
SAMN05918935	Peru	2012	patric,ncbi
SAMN05918944	Peru	2012	patric,ncbi
SAMN05918959	Peru	2012	patric,ncbi
SAMN05918940	Peru	2012	patric,ncbi
SAMN05918951	Peru	2012	patric,ncbi
SAMN05918954	Peru	2012	patric,ncbi
SAMN05919620	Peru	2012	patric,ncbi
SAMN05918537	Peru	2012	patric,ncbi
SAMN05919567	Peru	2012	patric,ncbi
SAMN05919557	Peru	2012	patric,ncbi
SAMN05919552	Peru	2012	patric,ncbi
SAMN05919604	Peru	2012	patric,ncbi
SAMN05919559	Peru	2012	patric,ncbi
SAMN05919555	Peru	2012	patric,ncbi
SAMN05918541	Peru	2012	patric,ncbi
SAMN05919591	Peru	2012	patric,ncbi
SAMN05919576	Peru	2012	patric,ncbi
SAMN05918524	Peru	2012	patric,ncbi
SAMN05919585	Peru	2012	patric,ncbi
SAMN05919592	Peru	2012	patric,ncbi
SAMN05919590	Peru	2012	patric,ncbi
SAMN05919625	Peru	2012	patric,ncbi
SAMN05919671	Peru	2012	patric,ncbi
SAMN05919584	Peru	2012	patric,ncbi
SAMN05919606	Peru	2012	patric,ncbi
SAMN05919613	Peru	2012	patric,ncbi
SAMN05919623	Peru	2012	patric,ncbi
SAMN05919631	Peru	2012	patric,ncbi
SAMN05919614	Peru	2012	patric,ncbi
SAMN05919641	Peru	2012	patric,ncbi
SAMN05919646	Peru	2012	patric,ncbi
SAMN05919652	Peru	2012	patric,ncbi
SAMN05919644	Peru	2012	patric,ncbi
SAMN05919649	Peru	2012	patric,ncbi
SAMN05919648	Peru	2012	patric,ncbi
SAMN05919656	Peru	2012	patric,ncbi
SAMN05919666	Peru	2012	patric,ncbi
SAMN05918602	Peru	2012	patric,ncbi
SAMN05918608	Peru	2012	patric,ncbi
SAMN05918575	Peru	2012	patric,ncbi
SAMN05918581	Peru	2012	patric,ncbi
SAMN05918609	Peru	2012	patric,ncbi
SAMN05918586	Peru	2012	patric,ncbi
SAMN05918593	Peru	2012	patric,ncbi
SAMN05918594	Peru	2012	patric,ncbi
SAMN05918606	Peru	2012	patric,ncbi
SAMN02797826	Taiwan	2008	patric,ncbi
SAMN03177496	South Korea	2006	patric,ncbi
SAMN03177473	South Korea	2005	patric,ncbi
SAMN03338741	Malaysia	2010	patric,ncbi
SAMN05918542	Peru	2012	patric,ncbi
SAMN05918750	Peru	2012	patric,ncbi
SAMN05918767	Peru	2012	patric,ncbi
SAMN05918550	Peru	2012	patric,ncbi
SAMN05915256	Peru	2012	patric,ncbi
SAMN05916233	Peru	2012	patric,ncbi
SAMEA1317626	South Africa		patric,ncbi
SAMEA1317649	South Africa		patric,ncbi
SAMEA1317661	South Africa		patric,ncbi
SAMEA1317648	South Africa		patric,ncbi
